Date,Open,High,Low,Close,Volume,Adj Close
1993-01-11,3251.67,3284.09,3228.98,3262.75,217150000,3262.75
1993-01-08,3268.96,3280.31,3221.68,3251.67,262620000,3251.67
1993-01-07,3305.16,3333.51,3250.30,3268.96,303140000,3268.96
1993-01-06,3307.87,3330.29,3276.53,3305.16,282850000,3305.16
1993-01-05,3309.22,3338.12,3279.23,3307.87,240550000,3307.87
1993-01-04,3301.11,3335.69,3282.74,3309.22,199680000,3309.22
1992-12-31,3321.10,3340.29,3294.36,3301.11,165910000,3301.11
1992-12-30,3310.84,3340.54,3298.93,3321.10,183870000,3321.10
1992-12-29,3333.26,3364.87,3295.71,3310.84,213660000,3310.84
1992-12-28,3326.24,3352.17,3297.33,3333.26,143800000,3333.26
1992-12-24,3313.54,3339.48,3303.27,3326.24,95240000,3326.24
1992-12-23,3321.10,3350.55,3293.01,3313.54,227980000,3313.54
1992-12-22,3312.46,3347.04,3286.52,3321.10,249670000,3321.10
1992-12-21,3313.27,3335.15,3280.85,3312.46,224680000,3312.46
1992-12-18,3269.23,3325.97,3261.94,3313.27,371080000,3313.27
1992-12-17,3255.18,3289.22,3229.79,3269.23,248590000,3269.23
1992-12-16,3284.36,3303.00,3238.70,3255.18,241910000,3255.18
1992-12-15,3292.20,3313.27,3260.32,3284.36,225880000,3284.36
1992-12-14,3304.08,3324.89,3279.50,3292.20,183510000,3292.20
1992-12-11,3312.19,3324.89,3280.85,3304.08,164450000,3304.08
1992-12-10,3323.81,3335.69,3285.17,3312.19,240570000,3312.19
1992-12-09,3322.18,3345.42,3295.98,3323.81,229980000,3323.81
1992-12-08,3307.33,3331.64,3288.41,3322.18,234300000,3322.18
1992-12-07,3288.68,3320.56,3274.37,3307.33,217700000,3307.33
1992-12-04,3276.53,3312.46,3261.40,3288.68,227410000,3288.68
1992-12-03,3286.25,3302.73,3252.48,3276.53,238200000,3276.53
1992-12-02,3294.36,3310.84,3265.18,3286.25,241860000,3286.25
1992-12-01,3305.16,3321.64,3268.15,3294.36,259020000,3294.36
1992-11-30,3282.20,3326.51,3270.31,3305.16,230190000,3305.16
1992-11-27,3266.26,3304.62,3259.24,3282.20,106010000,3282.20
1992-11-25,3248.70,3285.71,3243.57,3266.26,206700000,3266.26
1992-11-24,3223.04,3277.88,3209.26,3248.70,241520000,3248.70
1992-11-23,3227.36,3251.13,3196.83,3223.04,190490000,3223.04
1992-11-20,3209.53,3249.78,3197.64,3227.36,256340000,3227.36
1992-11-19,3207.37,3231.14,3190.35,3209.53,218700000,3209.53
1992-11-18,3193.32,3227.09,3176.84,3207.37,218660000,3207.37
1992-11-17,3205.74,3223.31,3178.19,3193.32,185460000,3193.32
1992-11-16,3233.03,3241.41,3191.16,3205.74,173500000,3205.74
1992-11-13,3239.79,3252.48,3211.69,3233.03,192320000,3233.03
1992-11-12,3240.33,3264.91,3214.39,3239.79,224580000,3239.79
1992-11-11,3225.47,3258.70,3203.31,3240.33,240160000,3240.33
1992-11-10,3240.87,3268.15,3212.50,3225.47,221990000,3225.47
1992-11-09,3240.06,3268.69,3220.33,3240.87,197490000,3240.87
1992-11-06,3243.84,3264.64,3216.82,3240.06,204870000,3240.06
1992-11-05,3223.04,3259.78,3203.58,3243.84,219580000,3243.84
1992-11-04,3252.48,3274.10,3211.15,3223.04,193980000,3223.04
1992-11-03,3262.21,3285.44,3226.82,3252.48,209740000,3252.48
1992-11-02,3226.28,3274.64,3211.42,3262.21,201620000,3262.21
1992-10-30,3246.27,3260.59,3208.45,3226.28,196740000,3226.28
1992-10-29,3251.40,3268.96,3224.39,3246.27,206300000,3246.27
1992-10-28,3235.73,3262.48,3210.34,3251.40,203040000,3251.40
1992-10-27,3244.11,3270.31,3210.88,3235.73,201650000,3235.73
1992-10-26,3207.64,3256.00,3190.08,3244.11,187950000,3244.11
1992-10-23,3200.88,3233.57,3175.76,3207.64,197400000,3207.64
1992-10-22,3187.10,3221.14,3162.79,3200.88,216080000,3200.88
1992-10-21,3186.02,3211.69,3163.33,3187.10,218990000,3187.10
1992-10-20,3188.45,3223.31,3166.30,3186.02,258220000,3186.02
1992-10-19,3174.41,3211.15,3154.14,3188.45,218670000,3188.45
1992-10-16,3174.68,3203.85,3123.89,3174.41,234480000,3174.41
1992-10-15,3195.48,3207.37,3147.66,3174.68,206990000,3174.68
1992-10-14,3201.42,3225.74,3167.11,3195.48,175440000,3195.48
1992-10-13,3174.41,3222.77,3159.28,3201.42,184120000,3201.42
